E46,PM,P2,1423,1429,{MS9}=0.503;{MS10&MGW}=0.297;\Omega=0.2,{MS9}=0.482;{MS13}=0.318;\Omega=0.2
E47,PSIT,P2,1429,1429,{SIT9}=0.9;\Omega=0.1,{SIT9}=0.9;\Omega=0.1
E48,PM,P2,1429,1447,{MS9}=0.678;{MS10&MGW}=0.122;\Omega=0.2,{MS9}=0.503;{MS10&MGW}=0.297;\Omega=0.2
E49,PM,P2,1465,1705,{MS9}=0.53;{MS10&MGW}=0.27;\Omega=0.2,{MS9}=0.645;{MS10&MGW}=0.155;\Omega=0.2
E55,PSTD,P2,1705,1705,{STD9}=0.9;\Omega=0.1,{STD9}=0.9;\Omega=0.1
E56,PM,P2,1705,1711,{MS9}=0.512;{MS10&MGW}=0.288;\Omega=0.2,{MS9}=0.53;{MS10&MGW}=0.27;\Omega=0.2
E57,PSIT,P2,1782,1782,{SIT9}=0.9;\Omega=0.1,{SIT9}=0.9;\Omega=0.1
E58,PM,P2,1785,1794,{MS9}=0.554;{MS10&MGW}=0.246;\Omega=0.2,{MS9}=0.557;{MS10&MGW}=0.243;\Omega=0.2
E59,PSTD,P2,1855,1855,{STD9}=0.9;\Omega=0.1,{STD9}=0.9;\Omega=0.1
E61,PM,P2,1915,1919,{MS9}=0.664;{MS10&MGW}=0.136;\Omega=0.2,{MS9}=0.674;{MS10&MGW}=0.126;\Omega=0.2
E62,PSIT,P2,1919,1919,{SIT9}=0.9;\Omega=0.1,{SIT9}=0.9;\Omega=0.1
E63,PM,P2,1919,2061,{MS9}=0.582;{MS10&MGW}=0.218;\Omega=0.2,{MS9}=0.664;{MS10&MGW}=0.136;\Omega=0.2
E70,PSTD,P2,2061,2061,{STD9}=0.9;\Omega=0.1,{STD9}=0.9;\Omega=0.1
E71,PM,P2,2061,2077,{MS9}=0.591;{MS10&MGW}=0.209;\Omega=0.2,{MS9}=0.582;{MS10&MGW}=0.218;\Omega=0.2
E73,PM,P2,2122,2125,{MS9}=0.458;{MS13}=0.342;\Omega=0.2,{MS9}=0.465;{MS13}=0.335;\Omega=0.2
E74,PSIT,P2,2125,2125,{SIT9}=0.9;\Omega=0.1,{SIT9}=0.9;\Omega=0.1
E75,PM,P2,2125,2129,{MS9}=0.447;{MS13}=0.353;\Omega=0.2,{MS9}=0.458;{MS13}=0.342;\Omega=0.2
E76,PSTD,P2,2129,2129,{STD9}=0.9;\Omega=0.1,{STD9}=0.9;\Omega=0.1
E77,PM,P2,2129,2304,{MDR}=0.555;{MS3&MGW}=0.245;\Omega=0.2,{MS9}=0.447;{MS13}=0.353;\Omega=0.2
E78,PE,P2,2440,2440,{EXT}=0.8;\Omega=0.2,{EXT}=0.8;\Omega=0.2
